issue_id,answer_id,author,creation_time,issue_body,answer_body
456983,0,almet,2010-12-05T17:31:55+00:00,"Hey, Say I add an image in my article, giving it a _relative_ address, like `content/my_image.jpg`. My article has a category `category`. It works well in the root directory, but since the articles also appear in the categories, the relative address which was `content/my_image.jpg` is now translated in `category/content/my_image.jpg`. I see one solution, using the site address to handle these kind of relative addresses: we simply prefix the relative address with the SITEURL value.","If we do add the SITEURL value, it can break because sometimes this value is simply not set. I want pelican to stay ""relative urls compliant"". One idea I can think of is analysing the HTML content given by the reader, looking for src=/img= that are relative, and then, depending on where those will be output, use the utils.get_relative_path to prefix those links/images. it's a bit hackish, but I can't think of a better way to do so. what do you think ?"
456983,1,Gui13,2010-12-05T17:43:43+00:00,"Hey, Say I add an image in my article, giving it a _relative_ address, like `content/my_image.jpg`. My article has a category `category`. It works well in the root directory, but since the articles also appear in the categories, the relative address which was `content/my_image.jpg` is now translated in `category/content/my_image.jpg`. I see one solution, using the site address to handle these kind of relative addresses: we simply prefix the relative address with the SITEURL value.","A bit hackish for sure, but I'm not yet good enough in python to see another alternative when no SITEURL is set."
456983,2,almet,2010-12-05T17:45:28+00:00,"Hey, Say I add an image in my article, giving it a _relative_ address, like `content/my_image.jpg`. My article has a category `category`. It works well in the root directory, but since the articles also appear in the categories, the relative address which was `content/my_image.jpg` is now translated in `category/content/my_image.jpg`. I see one solution, using the site address to handle these kind of relative addresses: we simply prefix the relative address with the SITEURL value.","okay, let's go for that so. Will do that when I'll get some spare time (it's a working sunday :)) thanks for the report !"
456983,3,almet,2010-12-14T15:57:04+00:00,"Hey, Say I add an image in my article, giving it a _relative_ address, like `content/my_image.jpg`. My article has a category `category`. It works well in the root directory, but since the articles also appear in the categories, the relative address which was `content/my_image.jpg` is now translated in `category/content/my_image.jpg`. I see one solution, using the site address to handle these kind of relative addresses: we simply prefix the relative address with the SITEURL value.","arnaud is currently working on that, see his fork at <link>"
456983,4,Gui13,2010-12-21T21:02:19+00:00,"Hey, Say I add an image in my article, giving it a _relative_ address, like `content/my_image.jpg`. My article has a category `category`. It works well in the root directory, but since the articles also appear in the categories, the relative address which was `content/my_image.jpg` is now translated in `category/content/my_image.jpg`. I see one solution, using the site address to handle these kind of relative addresses: we simply prefix the relative address with the SITEURL value.",Should this bug be closed now?
456983,5,Gui13,2010-12-21T21:02:53+00:00,"Hey, Say I add an image in my article, giving it a _relative_ address, like `content/my_image.jpg`. My article has a category `category`. It works well in the root directory, but since the articles also appear in the categories, the relative address which was `content/my_image.jpg` is now translated in `category/content/my_image.jpg`. I see one solution, using the site address to handle these kind of relative addresses: we simply prefix the relative address with the SITEURL value.",Well... clicked the wrong button. It is now.
456983,6,almet,2010-12-22T02:13:48+00:00,"Hey, Say I add an image in my article, giving it a _relative_ address, like `content/my_image.jpg`. My article has a category `category`. It works well in the root directory, but since the articles also appear in the categories, the relative address which was `content/my_image.jpg` is now translated in `category/content/my_image.jpg`. I see one solution, using the site address to handle these kind of relative addresses: we simply prefix the relative address with the SITEURL value.",not yet. Arnaud is still working on that (and discovering python at the same time). It will be soon :)
648603,0,codesplicer,2011-03-05T18:40:27+00:00,"if you render 5 templates deep, and that template throws an error currently express seems to try and next() each time, causing obvious issues","Having a similar issue when rendering partials, getting the following dumped repeatedly in console: Error: Can't set headers after they are sent. at ServerResponse.<anonymous> (<link> at ServerResponse.setHeader (/home/codesplicer/local/lib/node/.npm/connect/1.0.3/package/lib/patch.js:39:15) at IncomingMessage.next (/home/codesplicer/local/lib/node/.npm/connect/1.0.3/package/lib/<link> at error (/home/codesplicer/local/lib/node/.npm/express/2.0.0beta/package/lib/view.js:274:16) at ServerResponse.render (/home/codesplicer/local/lib/node/.npm/express/2.0.0beta/package/lib/view.js:286:12) at render (/home/codesplicer/local/lib/node/.npm/express/2.0.0beta/package/lib/view.js:94:16) at renderPartial (/home/codesplicer/local/lib/node/.npm/express/2.0.0beta/package/lib/view.js:114:12) at Object.partial (/home/codesplicer/local/lib/node/.npm/express/2.0.0beta/package/lib/view.js:267:12) at Object.anonymous (eval at <anonymous> (/home/codesplicer/local/lib/node/.npm/jade/0.8.1/package/lib/jade.js:227:10)) at ServerResponse.render (/home/codesplicer/local/lib/node/.npm/express/2.0.0beta/package/lib/view.js:284:24)"
648603,1,indutny,2011-03-14T10:48:22+00:00,"if you render 5 templates deep, and that template throws an error currently express seems to try and next() each time, causing obvious issues","Problem is in partials itself, you're not adding ""/partial"" to root when trying to find template file, and there're some problems w/ nested templates (ie parent option in View object)"
648603,2,tj,2011-03-14T14:14:40+00:00,"if you render 5 templates deep, and that template throws an error currently express seems to try and next() each time, causing obvious issues","the partials directory lookup has been removed for 2.0, it's always relative now, but ya ill have to look into the recursion thing soon. It's mostly fine but the exception unwind has new issues, I suspect this issue always existed but now node is more vocal about the issue"
